pull_id,pull_no,title,body
403787125,8578,b'RavenDB-12725 Checksum issue (port to 4.0)',b'Ported 4.1 PRs:\r\n- https://github.com/ravendb/ravendb/pull/8556/\r\n- https://github.com/ravendb/ravendb/pull/8576'
403746243,8577,b'[DO NOT MERGE] For debugging purposes',"b""I don't see how the added exception could throw but I wanna double check that using our test suite. """
403696184,8576,"b'RavenDB-12725  We need to use the value itself, not the constant, bec\xe2\x80\xa6'","b'\xe2\x80\xa6ause if we change it in the future, this is still reserved 3 for this version'"
403586550,8575,b'RavenDB-12665 we need to take into account escape positions size when allocation a buffer',b''
403562334,8574,b'RavenDB-12742 - Update of big value in same tx fails',b''
403562177,8573,b'RavenDB-12722 making recovery journal apply failure less scary and re\xe2\x80\xa6',b'\xe2\x80\xa6port the final recovery count'
403555334,8572,b'4.1 to 4.2 merge',b''
403541133,8571,b'RavenDB-12759 - fix NRE on shutdown',b'https://issues.hibernatingrhinos.com/issue/RavenDB-12759'
403538296,8570,b'RavenDB-12035 Setup wizard fails in macOS Mojave 10.14',b''
403537596,8569,b'RavenDB-12035 Setup wizard fails in macOS Mojave 10.14',b''
403536431,8568,b'RavenDB-12750 Cannot save edited backup task',b''
403474047,8567,b'RavenDB-12696 cancellation support for revert revisions',b''
403469472,8566,b'RavenDB-12458 Graph queries syntax highlight inside with clause',b''
403466824,8565,b'RavenDB-12743 SNMP entry for total number of indexing errors in database',b''
403412921,8564,b'RavenDB-12744 fix document debug hash assertion',b''
403363370,8563,b'RavenDB-12545 Wrong result size when using distinct causing infinite \xe2\x80\xa6',b'\xe2\x80\xa6loop in studio (not only a studio issue)'
403363354,8562,b'RavenDB-12545 Wrong result size when using distinct causing infinite \xe2\x80\xa6',b'\xe2\x80\xa6loop in studio (not only a studio issue)'
403186975,8561,"b""RavenDB-11951 Studio: Delete by query doesn't set default operator""",b''
403166530,8560,b'Raven db 12434',b''
402936421,8559,b'4.1 to 4.2 merge',b''
402770252,8558,b'RavenDB-12758 Apply database configuration for replication tests',b''
402757821,8557,b'RavenDB-12744 A resolved document must preserve the original change v\xe2\x80\xa6',b'\xe2\x80\xa6ector to avoid ping-pong replication\r\n\r\nbut it must update the global change vector.'
