pull_no,found_id,is_issue,is_pull_request
37020,36964,False,True
37017,36835,True,False
36994,36759,True,False
36976,36963,True,False
36970,40685,False,True
36960,36945,True,False
36931,37922,False,True
36931,35525,True,False
36905,36818,False,True
36799,36764,False,True
36798,36764,False,True
36790,36566,False,True
36740,36304,True,False
36733,36715,True,False
36733,34830,True,False
36718,36702,True,False
36712,35769,True,False
36678,36496,True,False
36671,35439,False,True
36671,35941,True,False
36669,36427,True,False
36607,36401,True,False
36549,36037,True,False
36543,34483,True,False
36465,36006,False,True
36456,36445,False,True
36434,35730,True,False
36434,35748,True,False
36406,36018,True,False
36402,36401,True,False
36366,36384,True,False
36314,36313,True,False
36311,30165,True,False
36262,272,True,False
36195,33391,True,False
36193,33344,True,False
36128,36114,True,False
36113,36192,False,True
36100,36058,True,False
36078,35010,True,False
35953,34942,True,False
35923,35897,True,False
35877,35439,False,True
35856,35611,True,False
35841,35439,False,True
35832,32563,True,False
35832,32564,True,False
35825,35822,False,True
35804,35057,True,False
35726,35603,False,True
35725,35603,False,True
35710,33968,True,False
35710,33968,True,False
35703,25997,True,False
35692,20049,True,False
35667,37500,True,False
35667,37500,True,False
35667,37502,True,False
35667,37501,True,False
35667,37506,True,False
35638,35622,True,False
35604,35123,True,False
35603,35725,False,True
35603,35726,False,True
35593,35499,False,True
35570,35260,True,False
35535,35056,True,False
35526,34809,False,True
35508,35114,True,False
35506,32054,True,False
35500,35727,False,True
35494,35203,True,False
35492,35071,True,False
35492,35072,True,False
35492,35090,True,False
35492,35091,True,False
35492,35098,True,False
35483,35439,False,True
35482,35439,False,True
35464,35439,False,True
35414,34051,True,False
35323,34725,True,False
35311,35278,True,False
35294,35273,False,True
35286,35285,True,False
35189,28834,True,False
35150,35335,True,False
35145,30081,True,False
35103,35102,True,False
35097,27023,False,True
35095,35918,True,False
35066,35081,True,False
35047,8,True,False
35023,33765,True,False
35018,34094,True,False
35016,35349,True,False
34992,33994,True,False
34959,35377,True,False
34939,34679,True,False
34920,34905,True,False
34911,34905,True,False
34910,34841,True,False
34904,34695,False,True
34904,34882,True,False
34899,34892,True,False
34796,34619,False,True
34790,36128,False,True
34790,36127,False,True
34778,34960,True,False
34778,34960,True,False
34730,34654,False,True
34727,33828,False,True
34712,32911,True,False
34712,1710,True,False
34706,34666,True,False
34682,34590,True,False
34654,33960,False,True
34584,2378,False,True
34542,34534,False,True
34530,33400,False,True
34476,23528,True,False
34454,35137,True,False
34454,35138,True,False
34454,35138,True,False
34391,34406,True,False
34382,29069,False,True
34342,34287,True,False
34275,34271,True,False
34265,34211,True,False
34265,34264,True,False
34254,40890,True,False
34254,40891,True,False
34244,26041,True,False
34180,32404,True,False
34081,34010,False,True
34080,32934,True,False
34056,33733,False,True
34027,34371,True,False
34027,34516,False,True
34027,31716,False,True
34027,35947,True,False
34027,35439,False,True
34027,35947,True,False
34027,35439,False,True
34009,34011,True,False
34005,33482,True,False
33976,33736,True,False
33971,33817,False,True
33960,248,True,False
33911,33905,True,False
33892,33743,True,False
33882,33847,True,False
33880,28798,True,False
33870,27522,True,False
33832,33800,False,True
33827,33822,True,False
33803,31748,True,False
33795,33824,True,False
33795,33822,True,False
33790,33631,False,True
33773,2138,True,True
33763,33762,True,False
33735,33537,True,False
33725,26513,True,False
33723,34117,False,True
33669,33207,True,False
33662,33670,True,False
33628,33608,True,False
33604,33398,True,False
33598,33597,True,False
33575,33797,True,False
33575,33799,True,False
33575,33800,False,True
33575,33800,False,True
33563,33400,False,True
33562,8,True,False
33556,33555,True,False
33524,33514,False,True
33524,33513,False,True
33520,33512,False,True
33516,33509,False,True
33515,33507,True,False
33514,33476,True,False
33512,33520,False,True
33512,33520,False,True
33491,32916,True,False
33431,33353,False,True
33343,23736,True,False
33323,21880,True,False
33323,41689,True,False
33323,41705,True,False
33300,32774,True,False
33300,32808,False,True
33293,33292,True,False
33291,33328,True,False
33258,33251,True,False
33185,32549,False,True
33185,33673,True,False
33173,27983,False,True
33170,32964,True,False
33162,33129,True,False
33113,33111,True,False
33113,33112,True,False
33097,19512,True,False
33094,32856,True,False
33051,33039,True,False
33028,33898,True,False
33026,32395,False,True
33023,32616,False,True
32974,28631,True,False
32919,32842,True,False
32897,32896,True,False
32884,32431,False,True
32884,32807,True,False
32858,32809,False,True
32813,32649,False,True
32809,32830,True,False
32809,32831,True,False
32809,32832,True,False
32758,17687,False,True
32710,32490,True,False
32704,1744,True,False
32704,31374,True,False
32685,29793,True,False
32677,32536,False,True
32640,32722,True,False
32638,29718,True,False
32623,32631,False,True
32591,31374,True,False
32473,23123,True,False
32473,23123,True,False
32450,31883,True,False
32450,30661,True,False
32439,25708,True,False
32422,32423,True,False
32398,30657,True,False
32376,32121,True,False
32336,30655,True,False
32336,31977,True,False
32293,32287,True,False
32175,34418,True,False
32175,34419,True,False
32175,34419,True,False
32175,34420,True,False
32137,32115,False,True
32119,25181,False,True
32067,7,True,False
32067,8,True,False
32067,7,True,False
32067,8,True,False
32067,8,True,False
32067,32174,True,False
32051,27200,True,False
32018,32034,True,False
31967,32012,True,False
31967,32018,False,True
31967,32012,True,False
31967,32018,False,True
31967,32012,True,False
31953,31907,True,False
31952,31902,True,False
31932,31913,False,True
31927,31648,False,True
31920,31911,True,False
31806,31882,True,False
31801,31652,False,True
31801,31142,False,True
31794,31381,True,False
31794,31743,True,False
31783,31773,True,False
31749,31393,True,False
31734,31749,False,True
31734,33948,False,True
31727,31132,False,True
31716,31708,False,True
31705,31700,True,False
31652,31142,False,True
31629,31537,True,False
31523,31498,False,True
31509,30097,True,False
31509,31504,True,False
31410,31314,True,False
31397,31574,False,True
31389,31483,True,False
31276,31404,False,True
31254,30998,False,True
31147,30914,False,True
31147,30914,False,True
31142,31276,False,True
31066,30733,False,True
31027,30962,True,False
31027,30935,False,True
31024,30908,True,False
30992,30797,True,False
30961,30271,True,False
30921,30932,True,False
30915,30905,False,True
30865,30733,False,True
30844,30829,True,False
30831,30282,True,False
30820,30819,True,False
30820,30819,True,False
30777,31007,True,False
30777,31373,True,False
30774,30668,True,False
30774,30659,True,False
30771,30748,False,True
30761,28684,True,False
30761,29837,True,False
30761,30001,True,False
30761,30052,True,False
30761,30054,True,False
30761,30068,True,False
30761,30072,True,False
30761,30178,True,False
30761,30220,True,False
30760,30472,True,False
30758,28441,False,True
30757,30756,True,False
30743,31045,True,False
30743,32095,True,False
30733,30865,False,True
30733,30865,False,True
30733,30868,False,True
30733,30868,False,True
30733,31061,True,False
30733,31062,True,False
30733,30869,False,True
30733,30869,False,True
30733,31075,False,True
30733,31075,False,True
30733,31075,False,True
