commit_sha,pull_no,issue_no
d5daeeab9aefb2f6a5282bd2336bfb46b28d1c57,19490,None
fdb3893c09600024871ec0d2d42bc5b7f8bd29f5,19529,None
585d92f37566361a24986c37d37bccb591ab9963,19518,None
b65327441844a366dcf44865b69616f5015948fb,19483,None
acddc9c5c9974bb3d729fd3c13bf5eac10109a2e,19484,None
6e5c15cea524907bfeb9858bd3d9bff41e26ff48,19517,None
5a45ab66302c4fb952fa1a17837cc616cf9a6cbe,19508,None
f9faa296b805c7713e03ee31d138d1cd5006e023,19504,None
5a3e168af2f0fc2fcc3fcb8c49f31203fabb64da,19488,None
fc7ea0aa0e6987d239355cfb85e5e47f5b34c829,19510,None
e4fbccac0a43fd507fb0ffe3fa0af22e1c53ca5d,19498,None
9bfe456516f780d61c178aeb1ffbf8288b99ee5f,19493,None
f821cf4f80a2a1b8eceaa0ffc311b98856bf05ad,19496,None
ced27c7de3dc4d3a5193fce0c06b31728680c2f6,19455,None
34cccfa2fde2bf14f3c6da7d68d47773aca0c5f5,19479,None
1167f9593221a65595983b8c45fe07f51e902c93,19434,None
fda7280cea24a957fb58c0237e1e92d342d9998e,19429,None
1fa5c1e0ebe93a655be73f3cae4e56ab6032aa4b,19442,18865
29214fcbf189598e26886caf1e0b4f1155b49fee,19386,None
ed23e5e41afe6c1f29b9d79a6a550e100d0ecb31,19401,None
a26d2f0c3ea1804e7794f66ef37a4d9e48e1d755,19452,18606
e3f31b2bdc39bbb854c055189461de212692b933,19453,None
198e323fc2d4e1d07fcbd4ae35c476ec7ce004e8,19457,None
4f7cc4db7ea6ed292b02b8b3b490ab5f5f745681,19463,None
a4a19c3cb4d881d4c4f0798927dc8a6f8952aae7,None,None
b33943df2b0710cfdebd8e507e4e18a7027fc580,19470,None
c6fa6f773ada3cb50429f11e63dc2dc34eafe9d4,None,None
cd024dc80f4c39887fabfe33f69ef8c33c7ad819,19467,None
a0d69a4e876834412ba676f544d447ec331e7c01,19260,None
42c76a9728393a1b62bb0c58a381f4abe44c1030,19454,None
8fbdc3ea44f65dd5a6771158b3683ad6c26067a3,19465,None
54256b61e9a22504843a18ebf5749671e5cf60d6,19460,None
c683499ad322e379b936f0f4fa34171ee3a7d6d1,19353,None
36c1034f4bc9379822b89ce8ccfbee6ecd6b92fe,19298,None
c5149e31b4d7c24379c739bc718fab034ac1e5e6,19444,None
c991c1d4c4745a4a673cfa5caa427447f866c5a7,19445,None
3fba2c81662f97c7377448e6c89b7285cc40b4cd,19447,None
6ec38cc08044e05a997279f1e6ce820d59314675,19267,None
8ba4a2bca1ae4d46b3a29adf98e63a6ffc9f8b3b,19437,None
2c5a02755ddf90b666718d7a9bce8679c20a1450,19439,None
eb468076a79982568e3bc66ae236fa1d2949ee1d,17760,None
b3210bf1e5cddb78c0b78c365e8587ceab774e51,19424,None
3122edcb7c1b92ce3728d6750e0f038c1be10517,19432,None
f713aef67b627e8cbb50ea485b2ce5858b21a566,19430,None
fcc6731c839d70d186b39e173b74b26f1aaafae7,19378,None
c6ff50ed491362de8c574a6e5f74bb9d09e60b68,19376,None
798ced842a0673199a99c7a6fe1cc90427fb1a25,19427,None
c55dee223f773021f2591ab9e5e19f89b816a7fd,None,None
bd2ca880f9c1824596d6d442da7fe236a5cf76ec,19420,None
82dc6e8a5ed7347fc94245c92f60490e5f4e262a,19394,None
2c783ab80bd6060b4c193e3f7efeb3682d8971ca,19416,None
2709c812c0cae75cf2bc7e33eecb9656a49cc34e,19232,None
2a531e04b32601d71b5eeae90fb2bf29e44cfe05,19405,None
b1d4be3babe0a9ff456745e17a28ef9d7005af70,19395,None
bd635ac8b47e70dc577ea675ac11dc06169b0205,19396,None
5733960ac4fd8aed52faf387919b4fabe445789a,19412,None
9485a66d2054f623261088f58b735897c205e278,None,None
a92528508e8295bc53600fc0abf3e5ba7ab24bb0,19403,None
e10990125dff43f7e3736ca35ad70289eee01be1,None,None
a17ab75deac5096f402cd959c1b87e21a2c17aa6,19390,19389
68a8b9290958ee5e9b21d8ff6b73a707e2504d39,19273,None
d525e3d5a38d7150a2fa920670b8bf1e908ffdd3,19341,None
62e6a2e0c66eba373ce62f812d967fa366db522d,19365,None
b745e20e84eaaaa446d420d7630e9ea79f920a03,19358,None
5bf237a2a4e59ec60452d511288e73fd19fe933c,19355,None
4f6b3f30f048632a763bbd552b3c0c4dbc7af7e0,19363,None
a30be514e2681e6908ba20a2474d57709672471a,19287,None
07febe2bb0e7fbd9abc461090762420f0115fe79,19361,None
cf7d5d5f45a3c2f1269aaea456e518f84d58be19,19360,None
fbc3a9757abcebd095db4d28c2e06d22bbfcff69,19359,None
6e9e5b8ef29ed06bea5aafae9b1e116ade68e08a,19354,None
f2878d45d84c50d956a1706f1e4e9e8c257bbda7,19342,None
d336d6be307dfea8b7a07268270c6d885db9d399,19323,None
450a6d6ac74638f10ea0f7f96e76faaa7b694da7,19294,None
e5be81d9216435462917d68978318fb616d5a9a4,19333,None
42c9cfb1fdfe8da50cdc99ebf93a58cd1fab5915,19325,None
48871c1ff5e28b557e45e671e6bbc358290b7676,19326,None
36f41ac8df6d8dec96b642a16026442657656df7,19331,None
282320c35f64f97900c9f322ce70bf6980dc9ad6,19318,None
78fe8c296971b3d3bd6fa3300bd57517c5f67ac7,19317,None
c9171a63be5be8e41173a775a8f47bcc010ff2b0,19327,None
151ba57d0f918436f4b6f2e0b55c5ef72bfc53d9,19319,None
b0e3196b9fc044732b849479f9abd552b1be35b5,19324,None
eb9cb9b3028361ec5ec81802f88403c359cf4241,19316,None
d9089e914b71483ebfc9eabf2a2e5213bf9aedc8,19315,None
437ca1d81c7d3eb11274f5e506272a54d1c43e01,19321,None
b1a1f06110ba4a5b01b8ac9c882181ad014bea93,19299,None
9967b065b27525a24f9b4e2f0020393849d4804c,19274,None
61830e01f6a32fefb0d34113c77c9c2af1680147,19310,None
8ec501a34fb6a3099458f8a35d2cba4c9c47a196,19300,None
8543df76a9f1f07bd09fc1df8d781efb68af4524,19302,None
4eb25bc4b6626265f7e66740ce09a00f501b4787,19289,None
a9bf876bb78332a0d0047696793962b25fca6411,19103,None
4cbcc9195d1f6cb2096a54940efce636cba4dd44,19301,None
77bcd7497d3d7e573cb6531971f5bd2f711c5fd8,19286,None
81939f45c4fac0ede5d883f44dc9b10f4e53d9f6,None,None
fa0f2ce8ab9ac670a5ed5799cbdc05251056ee4c,19292,None
bf75db119979f074d85a22bb2bbb5e12ca0dc508,19283,None
93457ec8c3047645ff842b9dd635dacfb6b910f7,19275,None
3a08f494a90ec49d0cb0057f3618e09bd9820f9e,19250,None
e0ea5d5de5b6ef90a18b9a41f0c0bbff13c2f556,19269,None
12055c887b632c4571c71335b35d7faaf48bf5db,18765,None
a41686486762a523a0c313814706bb3a2539e046,18992,None
41d607b62941ce289999ea271cff77e3d8409aaa,19060,None
871bfad41d43bcda37a176c07e1698a16269659c,19248,None
ca1e5c3214305a05eae2788032ea3782ab72a9ae,18762,None
aa688393ba239fcfbe539bf1b6d3bed060630e16,19234,18528
4a22f285e57b865a95645f9dd31ecf9ec8085246,19236,None
0763fb8b135ae9db77a00841d581e8c89bcb77f9,None,None
8ca4d3e6a258c663d0df899b1defce6a014281f0,19249,None
4359b8ff6feb150ff1fb98372e86657c3c0742cb,19252,None
001d4b33382728e025ee4bfd817bf5c7471b937a,19238,None
0d9d923e94c5e3f333333853b7201282052e551c,19200,None
56088a653f20f4ebd5e8203590ee5531e6bcca9b,19246,None
acfa1617301b9fa5c191accf401449a6452ac9f2,19217,None
c1b0b95549bdff497225b2ff651ba6dcd2bbc95d,19244,None
696ec4da7ec0fe4be161e910ac991e6721ffabd2,19237,None
edf6c286a173c94066fd2caf8557697dd9394f18,19240,None
